"transactionid";"customerid";"age";"gender";"Marital Status";"income";"Product Name";"storename";"groupstore";"Type";"latitude";"longitude";"price";"qty";"totalamount";"DATE"
TR37381;243;38;0;Married;3.34;Cheese Stick;Buana Indah;Buana;General Trade;"3,316694";"114,590111";15000;2;30000;2022-01-04
TR41140;78;41;1;Married;10.34;Yoghurt;Priangan;Priangan;Modern Trade;-5,45;"105,26667";10000;2;20000;2022-01-04
TR45300;351;45;1;Married;18.34;Cashew;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";18000;4;72000;2022-01-04
TR48461;117;45;1;Married;12.55;Thai Tea;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";4200;2;8400;2022-01-04
TR49210;189;59;1;Single;5.15;Potato Chip;Buana Indah;Buana;General Trade;"3,316694";"114,590111";12000;1;12000;2022-01-04
TR50516;304;34;0;Single;8.55;Cheese Stick;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";15000;2;30000;2022-01-04
TR51256;433;48;1;Married;11.97;Yoghurt;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";10000;1;10000;2022-01-04
TR57427;157;44;0;Single;2.52;Thai Tea;Bonafid;Gita;General Trade;-7,250445;"112,768845";4200;3;12600;2022-01-04
TR64821;117;45;1;Married;12.55;Crackers;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";7500;1;7500;2022-01-04
TR68280;36;32;1;Married;10.4;Oat;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";16000;1;16000;2022-01-04
TR86686;403;30;0;Married;4.06;Thai Tea;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";4200;2;8400;2022-01-04
TR88044;62;51;1;Married;13.62;Thai Tea;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";4200;5;21000;2022-01-04
TR90452;440;40;0;Married;3.47;Ginger Candy ;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";3200;5;16000;2022-01-04
TR98969;355;19;1;Single;0;Oat;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";16000;1;16000;2022-01-04
TR10602;22;34;0;Single;9.91;Thai Tea;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";4200;3;12600;2022-01-05
TR24114;182;44;1;Married;14.57;Oat;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";16000;1;16000;2022-01-05
TR35280;167;28;1;Married;2.91;Yoghurt;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";10000;1;10000;2022-01-05
TR36079;297;41;1;Married;12.13;Thai Tea;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";4200;4;16800;2022-01-05
TR43714;416;27;1;Married;3.43;Coffee Candy;Buana;Buana;General Trade;-1,26916;"116,825264";9400;2;18800;2022-01-05
TR46041;7;31;0;Married;4.57;Yoghurt;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";10000;5;50000;2022-01-05
TR60242;304;34;0;Single;8.55;Potato Chip;Buana;Buana;General Trade;-1,26916;"116,825264";12000;1;12000;2022-01-05
TR61100;278;31;1;Married;9.76;Oat;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";16000;2;32000;2022-01-05
TR61437;123;34;0;Married;4.36;Choco Bar;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";8800;4;35200;2022-01-05
TR84132;22;34;0;Single;9.91;Yoghurt;Priangan;Priangan;Modern Trade;-5,45;"105,26667";10000;7;70000;2022-01-05
TR11638;67;19;0;Single;0;Ginger Candy ;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";3200;5;16000;2022-01-06
TR20374;282;55;0;Married;11.38;Ginger Candy ;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";3200;5;16000;2022-01-06
TR23183;84;54;0;Married;18.12;Potato Chip;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";12000;4;48000;2022-01-06
TR24126;30;37;1;Single;2.26;Ginger Candy ;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";3200;3;9600;2022-01-06
TR32850;306;49;0;Married;16.52;Ginger Candy ;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";3200;3;9600;2022-01-06
TR40523;176;54;1;Married;18.32;Crackers;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";7500;4;30000;2022-01-06
TR41572;366;18;0;Single;0;Cashew;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";18000;3;54000;2022-01-06
TR45142;438;36;1;Single;5.43;Cheese Stick;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";15000;4;60000;2022-01-06
TR73860;71;46;0;Married;12.42;Potato Chip;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";12000;4;48000;2022-01-06
TR74469;340;41;0;Single;10.9;Thai Tea;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";4200;4;16800;2022-01-06
TR77963;116;51;1;Married;15.77;Crackers;Buana Indah;Buana;General Trade;"3,316694";"114,590111";7500;2;15000;2022-01-06
TR81478;20;43;0;Married;18.91;Thai Tea;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";4200;4;16800;2022-01-06
TR83042;102;39;0;Married;6.44;Ginger Candy ;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";3200;6;19200;2022-01-06
TR87914;161;41;0;Married;20.02;Thai Tea;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";4200;4;16800;2022-01-06
TR92298;266;72;1;Married;4.72;Ginger Candy ;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";3200;6;19200;2022-01-06
TR95272;84;54;0;Married;18.12;Coffee Candy;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";9400;3;28200;2022-01-06
TR96723;240;22;1;Single;3.33;Thai Tea;Priangan;Priangan;Modern Trade;-5,45;"105,26667";4200;4;16800;2022-01-06
TR97562;264;21;1;Single;1.12;Thai Tea;Priangan;Priangan;Modern Trade;-5,45;"105,26667";4200;3;12600;2022-01-06
TR22660;43;53;0;Married;16.64;Thai Tea;Buana;Buana;General Trade;-1,26916;"116,825264";4200;3;12600;2022-01-07
TR23169;189;59;1;Single;5.15;Choco Bar;Buana Indah;Buana;General Trade;"3,316694";"114,590111";8800;7;61600;2022-01-07
TR28506;230;40;1;Married;4.32;Yoghurt;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";10000;3;30000;2022-01-07
TR31932;70;30;1;Married;4.42;Yoghurt;Buana Indah;Buana;General Trade;"3,316694";"114,590111";10000;4;40000;2022-01-07
TR38873;311;61;1;Married;7.64;Ginger Candy ;Bonafid;Gita;General Trade;-7,250445;"112,768845";3200;6;19200;2022-01-07
TR43744;233;43;1;Married;5.69;Ginger Candy ;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";3200;6;19200;2022-01-07
TR60853;74;3;1;Married;5.09;Ginger Candy ;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";3200;3;9600;2022-01-07
TR73336;399;52;1;Single;33.77;Oat;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";16000;3;48000;2022-01-07
TR74427;43;53;0;Married;16.64;Oat;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";16000;2;32000;2022-01-07
TR23772;156;44;0;Married;3.87;Cheese Stick;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";15000;1;15000;2022-01-08
TR36287;157;44;0;Single;2.52;Coffee Candy;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";9400;2;18800;2022-01-08
TR40790;134;50;0;Married;18.62;Coffee Candy;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";9400;4;37600;2022-01-08
TR4331;335;29;1;Single;4.74;Crackers;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";7500;3;22500;2022-01-08
TR43444;240;22;1;Single;3.33;Potato Chip;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";12000;5;60000;2022-01-08
TR55617;9;33;0;Married;9.92;Coffee Candy;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";9400;5;47000;2022-01-08
TR57273;344;47;1;Married;5.63;Potato Chip;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";12000;1;12000;2022-01-08
TR648;164;18;1;Single;0;Thai Tea;Bonafid;Gita;General Trade;-7,250445;"112,768845";4200;3;12600;2022-01-08
TR65337;12;2;1;Married;4.94;Thai Tea;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";4200;3;12600;2022-01-08
TR6602;211;29;0;Married;3.54;Oat;Bonafid;Gita;General Trade;-7,250445;"112,768845";16000;2;32000;2022-01-08
TR67501;85;59;1;Married;7.89;Potato Chip;Buana;Buana;General Trade;-1,26916;"116,825264";12000;3;36000;2022-01-08
TR70157;415;44;0;Married;18.57;Oat;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";16000;2;32000;2022-01-08
TR84962;55;34;1;Married;8.44;Crackers;Buana Indah;Buana;General Trade;"3,316694";"114,590111";7500;5;37500;2022-01-08
TR89167;69;26;0;Single;2.84;Choco Bar;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";8800;5;44000;2022-01-08
TR90471;162;49;0;Married;11.46;Crackers;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";7500;3;22500;2022-01-08
TR14091;307;31;0;Married;5.22;Choco Bar;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";8800;5;44000;2022-01-09
TR28270;140;54;0;Married;9.57;Ginger Candy ;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";3200;7;22400;2022-01-09
TR48974;170;36;0;Married;7.55;Cheese Stick;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";15000;1;15000;2022-01-09
TR52493;354;53;1;Married;16.94;Oat;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";16000;1;16000;2022-01-09
TR52613;135;41;0;Married;3.28;Thai Tea;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";4200;3;12600;2022-01-09
TR53447;137;34;1;Married;6.36;Ginger Candy ;Bonafid;Gita;General Trade;-7,250445;"112,768845";3200;4;12800;2022-01-09
TR5513;62;51;1;Married;13.62;Potato Chip;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";12000;4;48000;2022-01-09
TR76965;241;24;1;Single;0.57;Choco Bar;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";8800;8;70400;2022-01-09
TR80326;269;39;1;Married;6.3;Oat;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";16000;1;16000;2022-01-09
TR858;340;41;0;Single;10.9;Oat;Priangan;Priangan;Modern Trade;-5,45;"105,26667";16000;2;32000;2022-01-09
TR8878;415;44;0;Married;18.57;Thai Tea;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";4200;3;12600;2022-01-09
TR89449;178;43;0;Married;9.58;Thai Tea;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";4200;2;8400;2022-01-09
TR91332;385;41;1;Married;15.84;Yoghurt;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";10000;1;10000;2022-01-09
TR91669;241;24;1;Single;0.57;Thai Tea;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";4200;5;21000;2022-01-09
TR3291;13;23;0;Single;2.03;Potato Chip;Priangan;Priangan;Modern Trade;-5,45;"105,26667";12000;5;60000;2022-01-10
TR45059;17;35;0;Married;3.14;Choco Bar;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";8800;6;52800;2022-01-10
TR47932;122;26;1;Single;0.14;Coffee Candy;Buana Indah;Buana;General Trade;"3,316694";"114,590111";9400;3;28200;2022-01-10
TR57616;446;57;0;Married;7.81;Choco Bar;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";8800;7;61600;2022-01-10
TR59952;321;45;0;Married;8.03;Potato Chip;Priangan;Priangan;Modern Trade;-5,45;"105,26667";12000;5;60000;2022-01-10
TR6445;181;33;1;Married;9.94;Crackers;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";7500;4;30000;2022-01-10
TR69307;23;57;1;Married;12.56;Oat;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";16000;1;16000;2022-01-10
TR69902;108;25;0;Single;6.87;Coffee Candy;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";9400;2;18800;2022-01-10
TR7250;49;44;1;Married;13.48;Choco Bar;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";8800;7;61600;2022-01-10
TR77811;329;19;1;Single;0;Cheese Stick;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";15000;2;30000;2022-01-10
TR80374;223;62;1;Single;5.35;Oat;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";16000;3;48000;2022-01-10
TR82224;246;40;1;Single;21.81;Ginger Candy ;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";3200;3;9600;2022-01-10
TR8236;249;47;0;Married;13.34;Ginger Candy ;Buana Indah;Buana;General Trade;"3,316694";"114,590111";3200;6;19200;2022-01-10
TR8369;64;48;1;Married;7.92;Crackers;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";7500;1;7500;2022-01-10
TR86436;26;45;1;Married;7.83;Cheese Stick;Priangan;Priangan;Modern Trade;-5,45;"105,26667";15000;1;15000;2022-01-10
TR88217;442;42;1;Married;14.88;Yoghurt;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";10000;1;10000;2022-01-10
TR95284;229;32;0;Married;10.17;Ginger Candy ;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";3200;3;9600;2022-01-10
TR18566;8;37;1;Married;5.49;Crackers;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";7500;3;22500;2022-01-11
TR23232;168;27;0;Married;4.88;Ginger Candy ;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";3200;6;19200;2022-01-11
TR36166;256;56;0;Married;7.09;Cheese Stick;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";15000;5;75000;2022-01-11
TR36685;196;34;0;Married;3.17;Ginger Candy ;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";3200;6;19200;2022-01-11
TR40960;394;50;0;Married;7.19;Cashew;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";18000;1;18000;2022-01-11
TR47732;329;19;1;Single;0;Ginger Candy ;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";3200;6;19200;2022-01-11
TR57918;72;26;0;Single;1.81;Potato Chip;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";12000;5;60000;2022-01-11
TR59286;278;31;1;Married;9.76;Coffee Candy;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";9400;6;56400;2022-01-11
TR63021;393;22;0;Single;0;Oat;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";16000;1;16000;2022-01-11
TR64748;232;62;0;Married;7.32;Thai Tea;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";4200;4;16800;2022-01-11
TR6627;339;22;0;Single;2.19;Yoghurt;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";10000;6;60000;2022-01-11
TR71791;295;34;0;Married;4.78;Coffee Candy;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";9400;5;47000;2022-01-11
TR75052;151;42;0;Married;10.38;Crackers;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";7500;1;7500;2022-01-11
TR76046;16;52;0;Married;11.8;Oat;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";16000;2;32000;2022-01-11
TR84499;312;54;0;Married;18.77;Crackers;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";7500;3;22500;2022-01-11
TR85582;145;37;0;Single;14.59;Thai Tea;Priangan;Priangan;Modern Trade;-5,45;"105,26667";4200;4;16800;2022-01-11
TR93692;244;21;1;Single;3.64;Thai Tea;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";4200;5;21000;2022-01-11
TR94450;213;24;1;Single;5.72;Crackers;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";7500;6;45000;2022-01-11
TR24515;347;26;1;Single;3.69;Cheese Stick;Buana Indah;Buana;General Trade;"3,316694";"114,590111";15000;2;30000;2022-01-12
TR24817;287;36;0;Single;3.7;Crackers;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";7500;1;7500;2022-01-12
TR25833;135;41;0;Married;3.28;Ginger Candy ;Bonafid;Gita;General Trade;-7,250445;"112,768845";3200;4;12800;2022-01-12
TR28633;201;57;0;Married;6.87;Yoghurt;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";10000;6;60000;2022-01-12
TR39671;52;37;0;Married;3.73;Cheese Stick;Buana Indah;Buana;General Trade;"3,316694";"114,590111";15000;2;30000;2022-01-12
TR4401;342;48;1;Married;13.55;Potato Chip;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";12000;5;60000;2022-01-12
TR49649;154;31;0;Married;8.36;Cheese Stick;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";15000;1;15000;2022-01-12
TR69772;112;31;1;Married;4.44;Oat;Bonafid;Gita;General Trade;-7,250445;"112,768845";16000;1;16000;2022-01-12
TR76028;301;60;0;Married;8.97;Choco Bar;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";8800;8;70400;2022-01-12
TR9420;28;55;0;Married;6.08;Oat;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";16000;3;48000;2022-01-12
TR94326;167;28;1;Married;2.91;Yoghurt;Buana;Buana;General Trade;-1,26916;"116,825264";10000;2;20000;2022-01-12
TR17988;112;31;1;Married;4.44;Cashew;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";18000;1;18000;2022-01-13
TR23621;156;44;0;Married;3.87;Coffee Candy;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";9400;2;18800;2022-01-13
TR31421;427;54;0;Married;16.88;Cashew;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";18000;3;54000;2022-01-13
TR33225;286;60;0;Married;6.19;Choco Bar;Gita Ginara;Gita;General Trade;-6,966667;"110,416664";8800;3;26400;2022-01-13
TR37826;149;61;1;Married;3.96;Coffee Candy;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";9400;6;56400;2022-01-13
TR48412;275;41;0;Married;15.33;Potato Chip;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";12000;2;24000;2022-01-13
TR61271;442;42;1;Married;14.88;Choco Bar;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";8800;3;26400;2022-01-13
TR75546;34;45;0;Married;6.36;Thai Tea;Lingga;Lingga;Modern Trade;-5,135399;"119,42379";4200;4;16800;2022-01-13
TR83152;420;48;1;Single;6.01;Cheese Stick;Harapan Baru;Harapan Baru;General Trade;"3,597031";"98,678513";15000;1;15000;2022-01-13
TR97807;324;36;1;Married;10.59;Cashew;Prestasi Utama;Prestasi;General Trade;-2,990934;"104,756554";18000;3;54000;2022-01-13
TR16701;426;19;0;Single;2.16;Potato Chip;Priangan;Priangan;Modern Trade;-5,45;"105,26667";12000;1;12000;2022-01-14
TR19443;295;34;0;Married;4.78;Yoghurt;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;"107,608238";10000;6;60000;2022-01-14
TR22474;231;51;1;Married;16.59;Crackers;Sinar Harapan;Harapan Baru;General Trade;"5,54829";"95,323753";7500;2;15000;2022-01-14
TR43117;267;22;0;Single;0;Cheese Stick;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";15000;4;60000;2022-01-14
TR63072;210;33;0;Married;10.9;Coffee Candy;Prima Kota;Prima;Modern Trade;-7,797068;"110,370529";9400;5;47000;2022-01-14
TR68172;131;25;0;Single;7.12;Thai Tea;Priangan;Priangan;Modern Trade;-5,45;"105,26667";4200;5;21000;2022-01-14
TR82815;206;68;0;Married;8.3;Coffee Candy;Lingga;Lingga;Modern Trade;-3,654703;"128,190643";9400;3;28200;2022-01-14
TR88153;303;45;0;Married;10.34;Thai Tea;Prima Tendean;Prima;Modern Trade;-6,2;"106,816666";4200;3;12600;2022-01-14
TR94606;329;19;1;Single;0;Cheese Stick;Buana;Buana;General Trade;-1,26916;"116,825264";15000;2;30000;2022-01-14
TR11326;433;48;1;Married;11.97;Yoghurt;Sinar Harapan;Prestasi;General Trade;"0,533505";"101,447403";10000;2;20000;2022-01-15
