"transactionid";"customerid";"productid";"price";"qty";"totalamount";"storeid";"DATE"
TR54663;361;1;8800;8;70400;1;2022-01-15
TR65307;443;5;4200;4;16800;4;2022-01-15
TR71470;217;10;15000;5;75000;14;2022-01-15
TR71650;142;5;4200;5;21000;7;2022-01-15
TR76485;434;9;10000;3;30000;5;2022-01-15
TR85027;216;2;3200;6;19200;1;2022-01-15
TR8647;378;1;8800;9;79200;9;2022-01-15
TR88822;59;7;9400;3;28200;1;2022-01-15
TR96420;351;9;10000;5;50000;8;2022-01-15
TR98224;40;6;18000;4;72000;10;2022-01-15
TR1576;138;1;8800;2;17600;7;2022-01-16
TR16100;184;9;10000;5;50000;11;2022-01-16
TR17745;150;2;3200;5;16000;2;2022-01-16
TR19359;105;10;15000;5;75000;13;2022-01-16
TR40245;355;6;18000;3;54000;12;2022-01-16
TR4066;342;10;15000;4;60000;10;2022-01-16
TR44922;209;10;15000;1;15000;1;2022-01-16
TR52563;278;8;16000;3;48000;3;2022-01-16
TR66649;299;8;16000;3;48000;1;2022-01-16
TR88920;447;8;16000;1;16000;4;2022-01-16
TR95280;423;10;15000;1;15000;10;2022-01-16
TR12572;264;1;8800;8;70400;1;2022-01-17
TR16416;162;8;16000;2;32000;11;2022-01-17
TR19683;446;10;15000;5;75000;13;2022-01-17
TR28079;217;5;4200;3;12600;11;2022-01-17
TR28209;447;3;7500;5;37500;9;2022-01-17
TR2841;16;7;9400;6;56400;2;2022-01-17
TR28854;136;9;10000;4;40000;8;2022-01-17
TR28928;110;10;15000;5;75000;4;2022-01-17
TR3941;177;7;9400;2;18800;7;2022-01-17
TR55188;398;5;4200;5;21000;6;2022-01-17
TR67971;177;2;3200;5;16000;2;2022-01-17
TR81233;71;3;7500;6;45000;13;2022-01-17
TR84034;439;5;4200;5;21000;8;2022-01-17
TR8508;401;5;4200;4;16800;14;2022-01-17
TR88404;296;5;4200;5;21000;3;2022-01-17
TR91007;37;10;15000;5;75000;2;2022-01-17
TR98921;187;8;16000;2;32000;9;2022-01-17
TR18620;306;2;3200;4;12800;1;2022-01-18
TR3743;83;3;7500;4;30000;13;2022-01-18
TR40659;368;3;7500;6;45000;6;2022-01-18
TR49285;240;3;7500;1;7500;11;2022-01-18
TR52721;356;8;16000;3;48000;12;2022-01-18
TR53728;120;5;4200;3;12600;7;2022-01-18
TR60985;404;5;4200;2;8400;2;2022-01-18
TR71324;225;3;7500;2;15000;7;2022-01-18
TR75701;378;8;16000;1;16000;11;2022-01-18
TR7896;303;7;9400;5;47000;6;2022-01-18
TR82047;92;2;3200;4;12800;5;2022-01-18
TR89703;81;8;16000;2;32000;4;2022-01-18
TR20664;130;6;18000;3;54000;8;2022-01-19
TR2323;115;3;7500;4;30000;11;2022-01-19
TR24906;23;1;8800;2;17600;9;2022-01-19
TR29591;203;4;12000;4;48000;5;2022-01-19
TR3330;318;10;15000;1;15000;2;2022-01-19
TR3414;56;3;7500;2;15000;13;2022-01-19
TR38717;45;3;7500;3;22500;3;2022-01-19
TR53185;404;4;12000;3;36000;1;2022-01-19
TR75889;154;3;7500;3;22500;12;2022-01-19
TR76104;6;7;9400;6;56400;3;2022-01-19
TR78475;397;10;15000;4;60000;6;2022-01-19
TR80853;351;7;9400;2;18800;11;2022-01-19
TR87436;151;1;8800;6;52800;10;2022-01-19
TR89069;107;9;10000;4;40000;7;2022-01-19
TR97235;413;5;4200;2;8400;11;2022-01-19
TR19590;258;6;18000;2;36000;12;2022-01-20
TR20045;243;3;7500;1;7500;12;2022-01-20
TR24538;116;10;15000;1;15000;3;2022-01-20
TR31616;416;9;10000;5;50000;2;2022-01-20
TR33794;169;9;10000;6;60000;12;2022-01-20
TR38395;386;8;16000;1;16000;7;2022-01-20
TR60760;359;5;4200;3;12600;3;2022-01-20
TR63307;443;7;9400;4;37600;13;2022-01-20
TR63588;326;4;12000;3;36000;6;2022-01-20
TR72168;130;5;4200;3;12600;9;2022-01-20
TR82517;297;5;4200;2;8400;5;2022-01-20
TR88378;44;7;9400;6;56400;14;2022-01-20
TR92856;79;7;9400;3;28200;10;2022-01-20
TR14385;66;6;18000;3;54000;9;2022-01-21
TR1807;197;3;7500;4;30000;11;2022-01-21
TR24740;106;2;3200;3;9600;5;2022-01-21
TR26433;209;7;9400;3;28200;4;2022-01-21
TR28011;367;9;10000;5;50000;5;2022-01-21
TR31493;131;1;8800;8;70400;12;2022-01-21
TR32113;171;3;7500;6;45000;2;2022-01-21
TR32730;243;6;18000;1;18000;9;2022-01-21
TR3316;435;7;9400;5;47000;13;2022-01-21
TR34731;281;3;7500;5;37500;4;2022-01-21
TR47402;19;9;10000;5;50000;3;2022-01-21
TR56276;88;10;15000;2;30000;1;2022-01-21
TR93101;267;1;8800;3;26400;12;2022-01-21
TR94279;119;5;4200;4;16800;1;2022-01-21
TR99024;289;6;18000;3;54000;1;2022-01-21
TR22459;362;10;15000;5;75000;12;2022-01-22
TR25854;176;8;16000;2;32000;8;2022-01-22
TR4315;181;5;4200;5;21000;8;2022-01-22
TR47702;359;4;12000;5;60000;11;2022-01-22
TR56832;429;4;12000;5;60000;2;2022-01-22
TR67395;328;8;16000;3;48000;11;2022-01-22
TR81633;376;8;16000;2;32000;5;2022-01-22
TR9042;320;5;4200;3;12600;7;2022-01-22
TR95963;73;3;7500;2;15000;3;2022-01-22
TR11023;395;3;7500;5;37500;3;2022-01-23
TR16773;14;6;18000;1;18000;2;2022-01-23
TR23559;62;5;4200;5;21000;10;2022-01-23
TR40337;168;3;7500;2;15000;12;2022-01-23
TR5111;294;5;4200;5;21000;13;2022-01-23
TR68999;349;1;8800;3;26400;13;2022-01-23
TR72014;295;5;4200;5;21000;6;2022-01-23
TR82501;335;5;4200;4;16800;13;2022-01-23
TR8408;26;10;15000;1;15000;2;2022-01-23
TR91120;114;3;7500;6;45000;12;2022-01-23
TR13528;196;4;12000;5;60000;10;2022-01-24
TR14110;356;6;18000;2;36000;9;2022-01-24
TR26197;187;10;15000;4;60000;2;2022-01-24
TR27545;34;6;18000;4;72000;7;2022-01-24
TR29618;171;10;15000;4;60000;9;2022-01-24
TR3218;91;1;8800;10;88000;10;2022-01-24
TR34744;76;2;3200;3;9600;8;2022-01-24
TR37162;169;8;16000;2;32000;5;2022-01-24
TR48869;257;1;8800;6;52800;5;2022-01-24
TR62843;123;2;3200;5;16000;3;2022-01-24
TR65973;422;2;3200;5;16000;11;2022-01-24
TR69288;160;2;3200;3;9600;4;2022-01-24
TR80016;183;3;7500;2;15000;10;2022-01-24
TR1186;423;4;12000;5;60000;13;2022-01-25
TR14148;418;5;4200;5;21000;1;2022-01-25
TR24554;444;10;15000;5;75000;14;2022-01-25
TR24979;276;5;4200;2;8400;1;2022-01-25
TR32972;372;5;4200;2;8400;11;2022-01-25
TR38205;314;8;16000;3;48000;1;2022-01-25
TR496;3;1;8800;2;17600;8;2022-01-25
TR53992;96;2;3200;5;16000;4;2022-01-25
TR5572;344;2;3200;4;12800;1;2022-01-25
TR57565;180;5;4200;4;16800;12;2022-01-25
TR600;97;4;12000;1;12000;7;2022-01-25
TR6094;104;1;8800;4;35200;3;2022-01-25
TR67707;49;10;15000;3;45000;13;2022-01-25
TR74093;298;3;7500;3;22500;2;2022-01-25
TR74832;57;9;10000;2;20000;4;2022-01-25
TR94774;222;3;7500;6;45000;3;2022-01-25
TR99456;403;5;4200;4;16800;3;2022-01-25
TR18017;369;10;15000;3;45000;8;2022-01-26
TR21020;10;8;16000;3;48000;4;2022-01-26
TR26976;89;3;7500;2;15000;7;2022-01-26
TR291;20;1;8800;3;26400;10;2022-01-26
TR33309;172;10;15000;1;15000;6;2022-01-26
TR38496;171;1;8800;7;61600;3;2022-01-26
TR69292;101;4;12000;2;24000;4;2022-01-26
TR71806;88;10;15000;3;45000;2;2022-01-26
TR73761;167;5;4200;5;21000;1;2022-01-26
TR83851;398;10;15000;1;15000;11;2022-01-26
TR88485;24;7;9400;4;37600;10;2022-01-26
TR8926;16;3;7500;6;45000;5;2022-01-26
TR95049;72;7;9400;3;28200;7;2022-01-26
TR96226;87;8;16000;3;48000;9;2022-01-26
TR96565;407;2;3200;3;9600;4;2022-01-26
TR1152;149;3;7500;6;45000;9;2022-01-27
TR20460;277;8;16000;3;48000;14;2022-01-27
TR21521;219;10;15000;3;45000;12;2022-01-27
TR22096;152;2;3200;7;22400;12;2022-01-27
TR39689;287;10;15000;1;15000;8;2022-01-27
TR44341;133;4;12000;2;24000;14;2022-01-27
TR46384;229;6;18000;1;18000;2;2022-01-27
TR47250;205;7;9400;6;56400;4;2022-01-27
TR4769;176;8;16000;3;48000;4;2022-01-27
TR48479;252;7;9400;2;18800;1;2022-01-27
TR49703;215;4;12000;2;24000;14;2022-01-27
TR53294;127;8;16000;3;48000;4;2022-01-27
TR59261;342;10;15000;3;45000;6;2022-01-27
TR66991;312;8;16000;2;32000;4;2022-01-27
TR71099;294;5;4200;3;12600;5;2022-01-27
TR7372;171;2;3200;6;19200;9;2022-01-27
TR84119;307;5;4200;3;12600;14;2022-01-27
TR87564;19;9;10000;3;30000;14;2022-01-27
TR87745;245;5;4200;4;16800;1;2022-01-27
TR91130;288;1;8800;3;26400;13;2022-01-27
TR11942;44;4;12000;3;36000;8;2022-01-28
TR14660;40;3;7500;4;30000;5;2022-01-28
TR18382;23;2;3200;3;9600;10;2022-01-28
TR226;281;8;16000;2;32000;3;2022-01-28
TR26050;88;7;9400;3;28200;10;2022-01-28
TR2737;417;2;3200;5;16000;10;2022-01-28
TR33859;367;5;4200;4;16800;7;2022-01-28
TR43048;202;1;8800;2;17600;9;2022-01-28
TR52295;361;4;12000;2;24000;8;2022-01-28
TR55903;214;5;4200;3;12600;4;2022-01-28
TR58807;20;9;10000;4;40000;11;2022-01-28
TR66811;79;2;3200;3;9600;13;2022-01-28
TR69931;384;8;16000;2;32000;12;2022-01-28
TR98511;410;8;16000;3;48000;2;2022-01-28
TR1232;342;5;4200;5;21000;11;2022-01-29
TR2820;410;9;10000;6;60000;6;2022-01-29
TR29955;445;8;16000;2;32000;14;2022-01-29
TR36472;187;6;18000;1;18000;2;2022-01-29
TR41807;263;7;9400;3;28200;5;2022-01-29
TR44836;99;7;9400;4;37600;6;2022-01-29
TR53477;51;5;4200;4;16800;10;2022-01-29
TR57679;226;4;12000;4;48000;5;2022-01-29
TR5817;256;1;8800;2;17600;11;2022-01-29
TR58339;115;7;9400;4;37600;7;2022-01-29
TR23654;42;10;15000;3;45000;8;2022-01-30
TR28269;131;9;10000;5;50000;14;2022-01-30
TR3314;403;3;7500;4;30000;4;2022-01-30
TR42503;30;7;9400;3;28200;5;2022-01-30
TR45877;310;4;12000;3;36000;2;2022-01-30
TR60792;14;8;16000;1;16000;6;2022-01-30
TR64013;10;9;10000;4;40000;4;2022-01-30
TR64560;195;4;12000;1;12000;12;2022-01-30
TR64899;272;3;7500;3;22500;6;2022-01-30
TR76522;206;5;4200;4;16800;6;2022-01-30
TR81463;416;9;10000;5;50000;3;2022-01-30
TR82591;308;9;10000;7;70000;11;2022-01-30
TR95882;195;8;16000;2;32000;10;2022-01-30
TR98748;66;5;4200;4;16800;12;2022-01-30
TR14763;135;4;12000;4;48000;5;2022-01-31
TR22391;183;7;9400;4;37600;1;2022-01-31
TR3027;12;10;15000;4;60000;8;2022-01-31
TR31748;394;10;15000;3;45000;14;2022-01-31
TR4462;152;10;15000;5;75000;4;2022-01-31
TR69103;27;4;12000;4;48000;7;2022-01-31
TR6940;37;3;7500;5;37500;14;2022-01-31
TR76017;312;2;3200;5;16000;3;2022-01-31
TR77297;417;9;10000;2;20000;3;2022-01-31
TR77509;444;5;4200;3;12600;4;2022-01-31
TR78366;168;7;9400;6;56400;3;2022-01-31
TR79840;133;7;9400;5;47000;6;2022-01-31
TR83213;89;5;4200;4;16800;11;2022-01-31
TR83468;360;2;3200;3;9600;11;2022-01-31
TR87759;373;5;4200;2;8400;11;2022-01-31
TR33585;245;2;3200;5;16000;11;2022-02-01
TR39283;293;2;3200;5;16000;8;2022-02-01
TR40082;293;3;7500;3;22500;7;2022-02-01
TR50178;280;10;15000;2;30000;5;2022-02-01
TR51488;61;1;8800;9;79200;10;2022-02-01
TR51730;3;5;4200;4;16800;5;2022-02-01
TR52040;289;5;4200;4;16800;10;2022-02-01
TR57306;16;5;4200;2;8400;13;2022-02-01
TR96028;141;7;9400;6;56400;13;2022-02-01
TR97521;373;5;4200;4;16800;2;2022-02-01
TR97914;276;5;4200;2;8400;6;2022-02-01
TR99181;355;3;7500;4;30000;3;2022-02-01
TR19203;384;7;9400;4;37600;1;2022-02-02
TR24953;277;10;15000;2;30000;10;2022-02-02
TR35143;338;8;16000;2;32000;9;2022-02-02
TR39794;2;3;7500;5;37500;2;2022-02-02
TR54309;70;2;3200;6;19200;4;2022-02-02
TR58702;330;5;4200;4;16800;1;2022-02-02
TR60184;175;1;8800;7;61600;2;2022-02-02
TR74940;37;9;10000;7;70000;13;2022-02-02
TR80011;79;10;15000;1;15000;8;2022-02-02
TR85957;112;1;8800;8;70400;7;2022-02-02
TR86926;107;9;10000;5;50000;9;2022-02-02
TR90300;57;3;7500;3;22500;12;2022-02-02
TR21207;190;5;4200;3;12600;13;2022-02-03
TR23935;131;5;4200;2;8400;5;2022-02-03
TR32248;63;3;7500;1;7500;8;2022-02-03
TR40265;201;10;15000;3;45000;2;2022-02-03
TR40627;101;9;10000;7;70000;12;2022-02-03
TR59571;376;5;4200;5;21000;11;2022-02-03
TR61442;268;4;12000;3;36000;1;2022-02-03
TR67712;405;1;8800;4;35200;6;2022-02-03
TR72053;28;3;7500;6;45000;12;2022-02-03
TR74533;257;3;7500;2;15000;2;2022-02-03
TR80734;147;5;4200;5;21000;13;2022-02-03
TR96876;381;2;3200;4;12800;11;2022-02-03
TR97709;189;3;7500;3;22500;10;2022-02-03
TR97763;406;1;8800;10;88000;3;2022-02-03
TR16875;218;2;3200;5;16000;1;2022-02-04
TR2859;226;1;8800;6;52800;8;2022-02-04
TR29286;306;6;18000;2;36000;5;2022-02-04
TR37417;53;9;10000;5;50000;8;2022-02-04
TR42721;128;4;12000;1;12000;14;2022-02-04
TR5327;128;8;16000;2;32000;13;2022-02-04
TR56306;395;5;4200;4;16800;3;2022-02-04
TR57094;289;9;10000;2;20000;14;2022-02-04
TR65344;54;3;7500;3;22500;1;2022-02-04
TR65958;54;1;8800;3;26400;2;2022-02-04
TR70798;428;3;7500;4;30000;12;2022-02-04
TR72427;66;10;15000;4;60000;13;2022-02-04
TR74375;220;5;4200;5;21000;12;2022-02-04
TR78838;205;2;3200;5;16000;12;2022-02-04
TR88072;60;8;16000;2;32000;13;2022-02-04
TR96454;379;2;3200;5;16000;8;2022-02-04
TR96549;252;5;4200;4;16800;3;2022-02-04
TR10270;215;3;7500;2;15000;14;2022-02-05
TR13539;360;6;18000;2;36000;6;2022-02-05
TR32416;263;5;4200;3;12600;12;2022-02-05
TR3677;258;4;12000;2;24000;6;2022-02-05
TR54480;417;1;8800;8;70400;4;2022-02-05
TR60591;363;4;12000;4;48000;12;2022-02-05
TR64239;43;9;10000;6;60000;8;2022-02-05
TR66377;156;5;4200;4;16800;8;2022-02-05
TR74879;28;5;4200;4;16800;4;2022-02-05
TR80509;39;2;3200;5;16000;4;2022-02-05
TR94902;127;10;15000;2;30000;9;2022-02-05
TR98495;347;6;18000;3;54000;2;2022-02-05
TR99046;122;8;16000;2;32000;2;2022-02-05
TR17748;92;6;18000;3;54000;1;2022-02-06
TR21924;214;7;9400;5;47000;4;2022-02-06
TR23421;399;9;10000;2;20000;7;2022-02-06
TR28621;63;8;16000;3;48000;9;2022-02-06
TR34922;380;8;16000;1;16000;8;2022-02-06
TR39097;400;1;8800;5;44000;10;2022-02-06
TR39263;157;8;16000;3;48000;2;2022-02-06
TR48375;193;2;3200;5;16000;7;2022-02-06
TR73408;346;3;7500;1;7500;14;2022-02-06
TR82154;303;1;8800;7;61600;5;2022-02-06
TR83612;435;5;4200;4;16800;5;2022-02-06
TR85850;56;8;16000;2;32000;6;2022-02-06
TR89135;72;7;9400;3;28200;7;2022-02-06
TR97622;277;9;10000;7;70000;5;2022-02-06
TR16565;285;7;9400;3;28200;11;2022-02-07
TR17222;32;6;18000;2;36000;7;2022-02-07
TR55079;202;9;10000;6;60000;2;2022-02-07
TR5564;60;8;16000;1;16000;6;2022-02-07
TR60441;304;3;7500;4;30000;10;2022-02-07
TR65477;413;8;16000;3;48000;5;2022-02-07
TR7048;60;7;9400;4;37600;10;2022-02-07
TR71116;247;4;12000;5;60000;12;2022-02-07
TR84670;380;2;3200;4;12800;2;2022-02-07
TR23384;69;2;3200;7;22400;5;2022-02-08
TR25004;23;1;8800;6;52800;9;2022-02-08
TR31235;369;7;9400;6;56400;12;2022-02-08
